file,player1,player2,rps_winner,game1_winner,starting_hand_player1,starting_hand_player2
1313181-76237612.json,Fryderyk Chopin,Cocozubat,False,,"Called by the Grave%%%%Abyssrhine, the Atlantean Spirit%%%%Anti-Magic Arrows%%%%Mermail Abysspike%%%%Neptabyss, the Atlantean Prince%%%%","Dominus Impulse%%%%Nibiru, the Primal Being%%%%Girsu, the Orcust Mekk-Knight%%%%Dominus Impulse%%%%Nibiru, the Primal Being%%%%"
1313181-76237695.json,Fryderyk Chopin,kuhakuthanh,False,False,"Dark Ruler No More%%%%Mermail Shadow Squad%%%%Abyssrhine, the Atlantean Spirit%%%%Mulcharmy Fuwalos%%%%Mermail Abysspike%%%%",Mulcharmy Fuwalos%%%%Lollipo☆Yummy%%%%Called by the Grave%%%%Droll & Lock Bird%%%%Yummyusment☆Mignon%%%%
1313181-76238382.json,Fryderyk Chopin,ForThoseWhoSin,False,True,"Barrier Statue of the Torrent%%%%Anti-Magic Arrows%%%%Abyssrhine, the Atlantean Spirit%%%%Sales Ban%%%%Poseidra, the Storming Atlantean%%%%",Deception of the Sinful Spoils%%%%Dominus Impulse%%%%Ash Blossom & Joyous Spring%%%%Ghost Belle & Haunted Mansion%%%%Called by the Grave%%%%
1313181-76241658.json,Fryderyk Chopin,OH REALLY?,False,False,Called by the Grave%%%%Deep Sea Diva%%%%Mulcharmy Fuwalos%%%%Sales Ban%%%%Dark Ruler No More%%%%,Maliss <P> March Hare%%%%Gold Sarcophagus%%%%Infinite Impermanence%%%%Terraforming%%%%Ash Blossom & Joyous Spring%%%%
1313181-76242360.json,Fryderyk Chopin,No Mad,True,False,"Mermail Abyssteus%%%%Poseidra, the Storming Atlantean%%%%Anti-Magic Arrows%%%%Atlantean Heavy Infantry%%%%Dominus Impulse%%%%",Dark Ruler No More%%%%Mitsurugi Prayers%%%%Ash Blossom & Joyous Spring%%%%Mitsurugi Prayers%%%%Mulcharmy Fuwalos%%%%
1313181-76242898.json,Fryderyk Chopin,hupo,False,,"Neptabyss, the Atlantean Prince%%%%Dominus Impulse%%%%Dark Ruler No More%%%%Deep Sea Diva%%%%Mermail Abyssteus%%%%",Lacrima the Crimson Tears%%%%Blackwing - Steam the Cloak%%%%Marshmao☆Yummy%%%%Ash Blossom & Joyous Spring%%%%Ame no Murakumo no Mitsurugi%%%%
1313181-76242969.json,Fryderyk Chopin,Self-Made Savage,True,False,"Anti-Magic Arrows%%%%Dominus Impulse%%%%Abyssrhine, the Atlantean Spirit%%%%Mermail Shadow Squad%%%%Atlantean Dragoons%%%%",Runick Freezing Curses%%%%Mulcharmy Fuwalos%%%%Runick Flashing Fire%%%%Runick Smiting Storm%%%%Ash Blossom & Joyous Spring%%%%
1313181-76243968.json,Fryderyk Chopin,Aegnor79,True,True,"Mermail Abyssteus%%%%Mulcharmy Purulia%%%%Dominus Spiral%%%%Abyssrhine, the Atlantean Spirit%%%%Ash Blossom & Joyous Spring%%%%",Albion the Shrouded Dragon%%%%Triple Tactics Thrust%%%%The Fallen & The Virtuous%%%%Forbidden Droplet%%%%Branded Opening%%%%
1313181-76245388&match.json,Fryderyk Chopin,Delpri2000,False,False,"Ash Blossom & Joyous Spring%%%%Mulcharmy Fuwalos%%%%Neptabyss, the Atlantean Prince%%%%Mermail Abysspike%%%%Mermail Shadow Squad%%%%","Vanquish Soul Jiaolong%%%%Vanquish Soul Dr. Mad Love%%%%K9-66a Jokul%%%%Vanquish Soul Caesar Valius%%%%Vanquish Soul, Start!%%%%"
1313181-76245388.json,Fryderyk Chopin,Delpri2000,False,False,"Ash Blossom & Joyous Spring%%%%Mulcharmy Fuwalos%%%%Neptabyss, the Atlantean Prince%%%%Mermail Abysspike%%%%Mermail Shadow Squad%%%%","Vanquish Soul Jiaolong%%%%Vanquish Soul Dr. Mad Love%%%%K9-66a Jokul%%%%Vanquish Soul Caesar Valius%%%%Vanquish Soul, Start!%%%%"
1313181-76246577.json,Fryderyk Chopin,Delpri2000,False,False,"Mermail Abyssteus%%%%Anti-Magic Arrows%%%%Mermail Abysspike%%%%Abyssrhine, the Atlantean Spirit%%%%Gluttonous Reptolphin Greethys%%%%",Ash Blossom & Joyous Spring%%%%Maliss <P> Chessy Cat%%%%Maliss In Underground%%%%Maliss in the Mirror%%%%Bystial Baldrake%%%%
